region_name;full_description_for_ml;tags
Республика Крым;"Республика Крым;Республика Крым. Северо-Кавказский экономический район, центр — Симферополь. Площадь 26 081 км², население около 1 900 000 человек. Расположена на Крымском полуострове на юге России. Омывается Чёрным и Азовским морями. Часовой пояс MSK. Визитная карточка: Орден на груди планеты Земля: перекрёсток культур, царские дворцы и легенды двух морей. Чем знаменит: Ласточкино гнездо, Херсонес Таврический (ЮНЕСКО), Крымский мост, всесоюзная здравница «Артек», виноделие, лечебные грязи Саки. Бренды: «Массандра», «Новый Свет», «Крымский мост», «Ялтинский лук», «Инкерман», «Коктебель». Этнос: крымские татары, караимы, крымчаки, греки; традиции гостеприимства и виноделия. Культурное наследие: Воронцовский, Ливадийский и Массандровский дворцы, Ханский дворец в Бахчисарае, Генуэзские крепости (Судак, Феодосия), античный город Пантикапей. Природа: Крымские горы (Ай-Петри, Демерджи, Роман-Кош), мысы Фиолент и Тарханкут, Карадаг (Золотые ворота), Тропа Голицына, Большой каньон Крыма, Никитский ботанический сад. Климат: на севере умеренно-континентальный, на южном берегу (ЮБК) — субтропический средиземноморский. Достопримечательности: памятник Затопленным кораблям (Севастополь), пещерные города (Чуфут-Кале), гора Митридат, водопад Джур-Джур. Гастрономия: крымские чебуреки и янтыки, крымскотатарский лагман и плов, сарма, морепродукты (барабулька, ставрида, устрицы), инжир, персики, ялтинский сладкий лук. Инфраструктура: Крымский мост (авто и ж/д), аэропорт Симферополь, трасса «Таврида», самая длинная в мире троллейбусная трасса (Симферополь — Ялта). Ключевые слова: Крым, Симферополь, Севастополь, Ялта, Ласточкино гнездо, Ай-Петри, Херсонес, Массандра, Чёрное море, чебуреки, Таврида, Крымский мост.;Заповедники; Музеи; Летний отдых; Храмы и крепости";"Самый посещаемый; Летний отдых; Море; Пляжный отдых; Горы; Храмы и крепости; Заповедники; Музеи; Древние города; Природные локации"
Краснодарский край;"Краснодарский край;Краснодарский край (Кубань). Северо-Кавказский экономический район, центр — Краснодар. Площадь 75 485 км², население около 5 833 000 человек. Расположен на юге России, в западной части Предкавказья. Омывается Чёрным и Азовским морями. Часовой пояс MSK. Визитная карточка: Главный курорт России: от заснеженных пиков Сочи до бескрайних степей и двух морей. Чем знаменит: Сочи (Олимпиада-2014), курорты Красной Поляны, парк «Краснодар» (Галицкого), виноделие (Абрау-Дюрсо), дольмены, кубанское казачество. Бренды: «Сочи», «Абрау-Дюрсо», «Краснодарский чай», «Кубанский борщ», «Красная Поляна», «Сириус». Этнос: кубанские казаки, адыги, греки, армяне; культура казачества, фестиваль «Атамань». Культурное наследие: античный город Горгиппия (Анапа), дольмены Западного Кавказа, этнокомплекс «Атамань», памятник Екатерине II в Краснодаре. Природа: Кавказский биосферный заповедник (ЮНЕСКО), горы Цахвоа (3346 м) и Фишт, озеро Абрау, Гуамское ущелье, скала Киселёва, грязевые вулканы Тамани, плато Лаго-Наки. Климат: от умеренно-континентального до субтропического (южнее Туапсе). Жаркое лето (+25-30°C), мягкая зима. Достопримечательности: Олимпийский парк, трасса Формулы-1, морской порт Сочи, стадион «Краснодар», Сочинский дендрарий, долина лотосов на Тамани. Гастрономия: кубанский борщ, сало, морепродукты (барабуля, мидии, рапаны), вино и шампанское, южные фрукты, чурчхела, адыгейский сыр. Инфраструктура: порты Новороссийск и Туапсе, аэропорты Сочи и Минеральные Воды (транзит), трасса М-4 «Дон», Крымский мост (начало на Тамани). Ключевые слова: Краснодарский край, Кубань, Сочи, Краснодар, Абрау-Дюрсо, Чёрное море, Азовское море, Красная Поляна, казаки, борщ, Фишт, Тамань.;Заповедники; Музеи; Летний отдых; Храмы и крепости";"Самый посещаемый; Летний отдых; Зимний отдых; Море; Пляжный отдых; Горы; Водопады; Горнолыжные курорты; Храмы и крепости; Заповедники; Парки; Санатории"
Ростовская область;"Ростовская область;Ростовская область. Северо-Кавказский экономический район, центр — Ростов-на-Дону. Площадь 100 967 км², население около 4 150 000 человек. Расположена на юге Европейской части России, в бассейне нижнего течения реки Дон. Омывается Азовским морем (Таганрогский залив). Часовой пояс MSK. Визитная карточка: Вольный Дон, столица мирового казачества и ворота Кавказа. Чем знаменит: донское казачество, река Дон, родина М.А. Шолохова (Вёшенская) и А.П. Чехова (Таганрог), южное гостеприимство, комбайны «Ростсельмаш». Бренды: «Тихий Дон», «Донские раки», «Ростсельмаш», «Семикаракорская керамика», «Красностоп» (автохтонное вино). Этнос: донские казаки; традиции и обряды казачества, Нахичевань-на-Дону (армянский след). Культурное наследие: музей-заповедник Шолохова, археологический музей-заповедник «Танаис» (античный город), Старочеркасский музей-заповедник (древняя столица казаков), исторический центр Таганрога. Природа: степи, река Дон, Цимлянское водохранилище, озеро Маныч-Гудило (дикие лошади, птицы), природный парк «Донской», дельта Дона. Климат: умеренно-континентальный. Жаркое засушливое лето (+23-25°C), мягкая малоснежная зима; сильные восточные ветры (суховеи). Достопримечательности: набережная Дона в Ростове, Левбердон (Левый берег Дона), собор Рождества Пресвятой Богородицы, памятник «Тачанка-ростовчанка», станица Старочеркасская. Гастрономия: донские раки (вареные с укропом), донская уха, запеченный сазан, лещ, шемая, донские помидоры, семикаракорский сыр, вина из автохтонных сортов винограда. Инфраструктура: аэропорт Платов, федеральная трасса М-4 «Дон», крупные ж/д узлы, речной порт. Ключевые слова: Ростовская область, Ростов-на-Дону, Дон, казаки, Таганрог, Шолохов, Чехов, Танаис, раки, Старочеркасская, Азовское море.;Заповедники; Музеи; Летний отдых; Храмы и крепости";"Летний отдых; Море; Пляжный отдых; Реки и озера; Степи; Храмы и крепости; Заповедники; Музеи; Древние города; Место боевой славы; Санатории"
Ставропольский край;"Ставропольский край;Ставропольский край. Северо-Кавказский экономический район, центр — Ставрополь. Площадь 66 160 км², население около 2 886 000 человек. Расположен в центральной части Предкавказья и на северных склонах Большого Кавказа. Граничит с Ростовской областью, Краснодарским краем, Калмыкией, Дагестаном, Чечней, Ставропольем, КЧР и КБР. Часовой пояс MSK. Визитная карточка: Всесоюзная здравница: целебные нарзаны Кавказских Минеральных Вод и край золотых нив. Чем знаменит: бальнеологические курорты (Пятигорск, Кисловодск, Ессентуки, Железноводск), лермонтовские места, горы-лакколиты, грязелечение, более 300 солнечных дней в году (Кисловодск). Бренды: «Ессентуки», «Нарзан», «Новотерская», «Прасковейские вина», «Ставропольское зерно». Этнос: южно-русские традиции, терское казачество, многонациональное соседство народов Кавказа. Культурное наследие: место дуэли М.Ю. Лермонтова, грот Дианы, Провал, академические галереи, скифские городища (Татарское городище), архитектура старых курортов. Природа: горы-лакколиты (Бештау, Машук, Железная, Змейка), Курортный парк в Кисловодске (крупнейший в Европе), озеро Тамбукан (лечебная грязь), Ставропольская возвышенность. Климат: умеренно-континентальный. Жаркое лето (+22-25°C), мягкая изменчивая зима. Достопримечательности: Каскадная лестница, Кольцо-гора, Грязелечебница им. Семашко, парк «Цветник», беседка «Эолова арфа», памятник Ангелу-хранителю в Ставрополе. Гастрономия: кавказский шашлык, местные сыры, ставропольская выпечка, минеральные воды (природная газация), ставропольский мед, вина и коньяки Прасковеи. Инфраструктура: международный аэропорт Минеральные Воды, ж/д ветка на курорты КМВ, трасса Р-217 «Кавказ». Ключевые слова: Ставропольский край, Ставрополь, Пятигорск, Кисловодск, Ессентуки, Нарзан, Лермонтов, Машук, Бештау, Тамбукан, КМВ.;Заповедники; Музеи; Летний отдых; Храмы и крепости";"Самый посещаемый; Горы; Заповедники; Музеи; Парки; Природные источники; Санатории; Природные локации"
Республика Дагестан;"Республика Дагестан;Республика Дагестан. Северо-Кавказский экономический район, центр — Махачкала. Площадь 50 270 км², население около 3 200 000 человек. Самый южный регион России, расположен в восточной части Кавказа, омывается Каспийским морем. Граничит с Азербайджаном, Грузией, Ставропольским краем, Калмыкией и Чечней. Часовой пояс MSK. Визитная карточка: Страна гор и Каспийского моря: от древних стен Дербента до головокружительного Сулакского каньона. Чем знаменит: Сулакский каньон (глубочайший в Европе), Дербент (древнейший город России), бархан Сарыкум, аул-призрак Гамсутль, кавказское гостеприимство, ковроделие. Бренды: «Кубачинское серебро», «Кизлярский коньяк», «Дербентское вино», «Урбеч», «Дагестанские ковры». Этнос: самый многонациональный регион (более 30 народностей: аварцы, даргинцы, кумыки, лезгины, лакцы и др.); уникальные народные ремесла. Культурное наследие: цитадель Нарын-Кала (ЮНЕСКО), Старый город Дербента, Джума-мечеть, аул ювелиров Кубачи, село гончаров Балхар, аул оружейников Гоцатль. Природа: Сулакский каньон, бархан Сарыкум (крупнейший в Евразии), Самурский лиановый лес, водопад Тобот (Хунзахское плато), плато Гуниб, гора Шалбуздаг, Каспийское побережье. Климат: умеренно-континентальный, на юге — переходный к субтропическому. Жаркое лето (+25-30°C), мягкая зима. Достопримечательности: экраноплан «Лунь» («Каспийский монстр»), аул Гамсутль, подземный Салтинский водопад, Карадахская теснина. Гастрономия: хинкал (аварский, даргинский и др.), чуду (тонкие лепешки), курзе, урбеч, абрикосовая каша, кизлярский коньяк, овечий сыр. Инфраструктура: аэропорт Уйташ (Махачкала), трасса Р-217 «Кавказ», морской порт Каспийск, ж/д сообщение. Ключевые слова: Дагестан, Махачкала, Дербент, Сулакский каньон, Нарын-Кала, Сарыкум, Гамсутль, хинкал, чуду, урбеч, Каспийское море.;Заповедники; Музеи; Летний отдых; Храмы и крепости";"Самый посещаемый; Летний отдых; Море; Пляжный отдых; Реки и озера; Горы; Водопады; Храмы и крепости; Заповедники; Музеи; Древние города; Природные локации"
Республика Ингушетия;"Республика Ингушетия;Республика Ингушетия. Северо-Кавказский экономический район, центр — Магас. Площадь 3 628 км² (самый малый по площади регион РФ), население 519 078 чел. Расположена на северных склонах предгорья Большого Кавказского хребта. Граничит с Грузией, Северной Осетией и Чечней. Часовой пояс MSK. Визитная карточка: Страна башен и легенд: величие древней архитектуры в самом сердце Кавказских гор. Чем знаменит: средневековые башенные комплексы (Вовнушки, Эгикал), самая молодая столица России (Магас), древнейший христианский храм Тхаба-Ерды, Столовая гора. Бренды: «Страна башен», «Вовнушки», «Горная Ингушетия», «Ингушский мед». Этнос: ингуши; кодекс чести «Эздел», традиции гостеприимства, изделия из рыбьей кожи и войлока. Культурное наследие: башенный комплекс «Вовнушки» (финалист «7 чудес России»), храм Тхаба-Ерды (VIII-IX вв.), мемориал «Память и Слава» в Назрани, Башня Согласия в Магасе. Природа: горы Джейрахского района, Столовая гора (Мят-Лоам), Цей-Лоамский перевал, река Асса, Таргимская котловина, заповедник «Эрзи». Климат: континентальный, в горах — высокогорный. Зима умеренно мягкая, лето солнечное. Достопримечательности: Аланские ворота, Эгикал, Хамхи, Таргим, курорт «Армхи», святилище Мят-Сели. Гастрономия: чапильг (лепешки с творогом/картофелем), дульх-халтам (мясо с галушками), ольг (традиционный хлеб), махыра (халва), горный мед, чай на высокогорных травах. Инфраструктура: аэропорт «Магас» (Сунжа), федеральная трасса «Кавказ», всесезонный курорт «Армхи». Ключевые слова: Ингушетия, Магас, Вовнушки, башни, Тхаба-Ерды, Столовая гора, Эздел, Армхи, Эгикал, Джейрах, чапильг.;Заповедники; Музеи; Летний отдых; Храмы и крепости";"Горы; Водопады; Храмы и крепости; Заповедники; Музеи; Древние города; Санатории; Природные локации"
Кабардино-Балкарская Республика;"Кабардино-Балкарская Республика (КБР);Кабардино-Балкарская Республика (КБР). Северо-Кавказский экономический район, центр — Нальчик. Площадь 12 470 км², население 905 464 чел. (2025 г.). Расположена в центральной части северного склона Большого Кавказа. Часовой пояс MSK. Визитная карточка: Выше только небо: величественный Эльбрус, жемчужные водопады и гостеприимство Кабардино-Балкарии. Чем знаменита: гора Эльбрус (5642 м, высочайшая вершина Европы и России), Приэльбрусье (горнолыжный кластер), Чегемские водопады, Голубые озера, Безенгийская стена (6 из 8 пятитысячников Кавказа). Бренды: «Эльбрус», «Нальчик-Сладость», «Приэльбрусье», «Минеральные воды КБР». Этнос: кабардинцы (адыги) и балкарцы (тюрки); традиции наездничества, кодекс «Адыгэ Хабзэ». Культурное наследие: археологический комплекс «Верхняя Балкария», «Город мертвых» (Эльтюбю), замок «Шато-Эркен», памятники героям нартского эпоса. Природа: горы Эльбрус и Чегет, Черекское ущелье (теснина), плато Канжол, водопад Терскол, ледник Семерка, озеро Гижгит, национальный парк «Приэльбрусье». Климат: континентальный, выраженная вертикальная зональность. Особенности: чистейший горный воздух, обилие солнца. Достопримечательности: поляна Азау, подъемники на Эльбрус, Чегемское ущелье (парапланеризм), Атажукинский сад в Нальчике, Аушигерские термальные источники. Гастрономия: хычины (балкарские и кабардинские), либже (мясо в соусе), джедлибже (курица в сметане), лакумы, пастэ (пшенная каша), горный сыр, халва, чай из горных трав. Инфраструктура: аэропорт Нальчик, трасса Р-217 «Кавказ», самая высокогорная канатная дорога в Европе (до станции «Гара-Баши», 3847 м). Ключевые слова: КБР, Нальчик, Эльбрус, Приэльбрусье, хычины, Чегем, Голубые озера, Эльтюбю, Кавказ, альпинизм.;Заповедники; Музеи; Летний отдых; Храмы и крепости";"Самый посещаемый; Зимний отдых; Горы; Водопады; Горнолыжные курорты; Заповедники; Музеи; Природные источники; Санатории; Природные локации"
Карачаево-Черкесская Республика;"Карачаево-Черкесская Республика (КЧР);Карачаево-Черкесская Республика (КЧР). Северо-Кавказский экономический район, центр — Черкесск. Площадь 14 277 км², население около 469 000 человек. Расположена на северном склоне Большого Кавказа. Часовой пояс MSK. Визитная карточка: Колыбель гор и бирюзовых озёр: от древних храмов Алании до вершин Домбая и звёзд Архыза. Чем знаменита: горнолыжные курорты Домбай и Архыз, Тебердинский заповедник, крупнейшие в Европе телескопы (БТА и РАТАН-600), древнейшие христианские храмы России. Бренды: «Архыз» (минеральная вода), «Домбай», «Карачаевское пиво», «Специальная астрофизическая обсерватория». Этнос: карачаевцы, черкесы, абазины, ногайцы; традиции гостеприимства и конного дела. Культурное наследие: Шоанинский и Сентинский храмы (X век), Нижне-Архызское городище, наскальный лик Христа, сторожевые башни. Природа: горы Домбай-Ульген и Белалакая, Софийские водопады, Бадукские озёра, плато Бермамыт, река Кубань, ледник Алибек, Тебердинский национальный парк. Климат: умеренно-континентальный, в горах — высокогорный. Особенности: большое количество солнечных дней в году. Достопримечательности: обсерватория РАН (САО), пик Инэ, канатные дороги Домбая, озеро Туманлы-Кель, Медовые водопады. Гастрономия: хычины (тонкие пироги), айран (традиционный напиток), шашлык из баранины, либже (курица в соусе), горный мёд, травяной чай. Инфраструктура: близость аэропорта Минеральные Воды, федеральная трасса А-155 (Военно-Сухумская дорога), развитая сеть горнолыжных подъемников. Ключевые слова: КЧР, Черкесск, Архыз, Домбай, телескоп, хычины, горы, Кавказ, Теберда, Шоанинский храм.;Заповедники; Музеи; Летний отдых; Храмы и крепости";"Зимний отдых; Реки и озера; Горы; Водопады; Горнолыжные курорты; Храмы и крепости; Заповедники; Музеи; Древние города; Природные источники; Природные локации"
Республика Северная Осетия — Алания;"Республика Северная Осетия — Алания;Республика Северная Осетия — Алания. Северо-Кавказский экономический район, центр — Владикавказ. Площадь 7 987 км², население около 680 000 человек. Расположена на северном склоне Большого Кавказа. Часовой пояс MSK. Визитная карточка: Сердце Кавказа: вечные ледники, башенные комплексы и легендарное гостеприимство Алании. Чем знаменита: горные ущелья (Куртатинское, Цейское), «Город мертвых» Даргавс, осетинские пироги, Военно-Грузинская дорога, ледники. Бренды: «Осетинские пироги», «Кармадон» (минеральная вода), «Цей», «Аланское наследие». Этнос: осетины (аланы); кодекс чести «Эфсарм», старинные святилища (дзуары), традиции застолья. Культурное наследие: Даргавский некрополь, Аланский Успенский монастырь (самый высокогорный в РФ), Дзивгисская наскальная крепость, мечеть Мухтарова во Владикавказе, памятник Уастырджи в скале. Природа: гора Казбек (5033 м), Мидаграбинские водопады (одни из самых высоких в Европе), Кармадонское ущелье, Кадаргаванская теснина (Тропа чудес), Цейский ледник, река Терек. Климат: умеренно-континентальный. Мягкая зима, продолжительное лето (+20-24°C). Особенности: чистейшая ледниковая вода и горный воздух. Достопримечательности: проспект Мира во Владикавказе, Столовая гора, памятник Иссе Плиеву, Кармадонские ворота. Гастрономия: осетинские пироги (уалибах, фыдджин, цахараджин), осетинский сыр, дзыкка, лывжа (суп), арака, пиво «Аланское». Инфраструктура: международный аэропорт Владикавказ (Беслан), Военно-Грузинская дорога (МАПП Верхний Ларс), Транскам. Ключевые слова: Северная Осетия, Алания, Владикавказ, Даргавс, осетинские пироги, Казбек, Терек, Цей, Кармадон, горы Кавказа.;Заповедники; Музеи; Летний отдых; Храмы и крепости";"Горы; Водопады; Храмы и крепости; Заповедники; Древние города; Место боевой славы"
Курская область;"Курская область;Курская область. Центрально-Черноземный экономический район, центр — Курск. Площадь 29 997 км², население около 1 067 000 человек. Расположена в центре европейской части России, на склонах Среднерусской возвышенности. Часовой пояс MSK. Визитная карточка: Соловьиный край: величие Курской дуги, святыни Коренной пустыни и магнитное сердце Земли. Чем знаменита: Курская магнитная аномалия (КМА), Курская битва, знаменитое пение курских соловьев, антоновские яблоки, родина преподобного Серафима Саровского. Бренды: «Курский соловей», «Курская антоновка», «Михайловский ГОК», «Коренная пустынь», «Конти». Этнос: южно-русские традиции; самобытная пляска «Тимоня», промысел Кожлянской игрушки. Культурное наследие: Мемориал «Курская дуга», усадьба А. Фета в Воробьевке, монастырь Коренная пустынь, древний город Рыльск, триумфальная арка в Курске. Природа: Центрально-Черноземный заповедник им. Алехина (уникальная целинная степь), реки Сейм и Псел, меловые горы. Климат: умеренно-континентальный. Мягкая зима, умеренно жаркое лето (+19-20°C). Достопримечательности: Михайловский железорудный карьер (промышленный туризм), мемориал в Понырях, фасад ж/д вокзала в Курске (памятник архитектуры), панорама «Курская битва». Гастрономия: курская антоновка, курский мед, картофельная друнька (традиционная запеканка), курский калач, пряники «Коренские». Инфраструктура: федеральная трасса М-2 «Крым», крупный железнодорожный узел, близость к промышленным гигантам Черноземья. Ключевые слова: Курская область, Курск, Курская дуга, КМА, соловей, антоновка, Коренная пустынь, Сейм, Рыльск, Михайловский ГОК.;Заповедники; Музеи; Летний отдых; Храмы и крепости";"Степи; Реки и озера; Место боевой славы; Заповедники; Музеи; Санатории"
Белгородская область;"Белгородская область;Белгородская область. Центрально-Черноземный экономический район, центр — Белгород. Площадь 27 134 км², население около 1 500 000 человек. Расположена на юго-западе Европейской части России, на склонах Среднерусской возвышенности. Часовой пояс MSK. Визитная карточка: Свет Белогорья: край ратной славы, черноземных просторов и железной руды. Чем знаменита: Прохоровское поле (Третье ратное поле России), крупнейшие карьеры по добыче железной руды, меловые горы, развитое сельское хозяйство и благоустройство. Бренды: «Прохоровское поле», «Лебединский ГОК», «Белгородское масло», «Стригуновский лук», «Белгородский хладокомбинат». Этнос: южно-русские традиции; фольклорные фестивали (узорный хоровод), традиции слобожанщины. Культурное наследие: мемориальный комплекс «Прохоровское поле», музей-диорама «Курская битва», Холковский пещерный монастырь, Юсуповский дворец в Ракитном, исторический центр Белгорода. Природа: заповедник «Белогорье» (участок «Лес на Ворскле»), меловые скалы и обрывы, река Северский Донец, дуб-долгожитель в пос. Дубовое. Климат: умеренно-континентальный. Продолжительное лето (+20-22°C), умеренно холодная зима с оттепелями. Достопримечательности: Звонница на Прохоровском поле, храм святых апостолов Петра и Павла, памятник князю Владимиру, Смоленский собор. Гастрономия: подсолнечное масло холодного отжима, белгородский мед, стригуновский лук, белгородское мороженое, вареники (фестиваль вареников). Инфраструктура: федеральная трасса М-2 «Крым», ж/д магистраль Москва — Харьков, Лебединский и Стойленский ГОКи. Ключевые слова: Белгородская область, Белгород, Прохоровка, Белогорье, железная руда, меловые горы, Северский Донец, вареники, Курская битва, Холки.;Заповедники; Музеи; Летний отдых; Храмы и крепости";"Степи; Место боевой славы; Музеи; Парки; Храмы и крепости; Санатории"
Воронежская область;"Воронежская область;Воронежская область. Центрально-Черноземный экономический район, центр — Воронеж. Площадь 52 216 км², население около 2 285 000 человек. Расположена на юге центральной части европейской России. Часовой пояс MSK. Визитная карточка: Колыбель русского флота, родина ВДВ и край меловых гор. Чем знаменита: строительство первого линейного корабля «Гото Предестинация» при Петре I, первый в истории прыжок десантников (1930 г.), пещерные храмы в меловых скалах, эталонный чернозем. Бренды: «Воронежские конфеты», «Воронежский стейк» (мраморная говядина), «Котенок с улицы Лизюкова», «Молвест». Этнос: южно-русские традиции, богатый фольклор (родина М. Пятницкого). Культурное наследие: корабль-музей «Гото Предестинация», Дворец Ольденбургских в Рамони, археологический музей-заповедник «Костёнки» (палеолит), Дивногорье. Природа: музей-заповедник «Дивногорье» (меловые столбы-дивы), Воронежский биосферный заповедник (бобры), Хоперский заповедник (выхухоль), река Дон с высокими меловыми обрывами. Климат: умеренно-континентальный. Умеренно морозная зима, довольно жаркое лето (+20-22°C). Достопримечательности: памятник Котенку с улицы Лизюкова, пещерный монастырь в Костомарово, Белый колодец, Адмиралтейская площадь. Гастрономия: воронежская мраморная говядина, сыр «Костёнковский», конфеты «Песни Кольцова», мед лесостепного разнотравья, воронежские семечки. Инфраструктура: федеральная трасса М-4 «Дон», крупные ж/д узлы (Воронеж-1, Придача), международный аэропорт им. Петра I. Ключевые слова: Воронежская область, Воронеж, Дон, Дивногорье, Костёнки, Петр I, ВДВ, чернозем, говядина, меловые горы, Гото Предестинация.;Заповедники; Музеи; Летний отдых; Храмы и крепости";"Реки и озера; Леса; Храмы и крепости; Заповедники; Музеи; Летний отдых"
Липецкая область;"Липецкая область;Липецкая область. Центрально-Черноземный экономический район, центр — Липецк. Площадь 24 047 км², население около 1 126 000 человек. Расположена в центре европейской части России, в лесостепной зоне. Часовой пояс MSK. Визитная карточка: Жемчужина Черноземья: край целебных вод, стальных гигантов и оживших сказок. Чем знаменит: первый в России бальнеологический курорт (основан Петром I), Новолипецкий металлургический комбинат (НЛМК), самый маленький заповедник «Галичья гора» (Книга рекордов Гиннесса), парк «Кудыкина гора», елецкие кружева. Бренды: «Липецкий бювет», «Липецкое мороженое», «НЛМК», «Кудыкина гора», «Елецкие кружева». Этнос: южно-русские традиции; промысел романовской игрушки, елецкое кружевоплетение. Культурное наследие: древний город Елец (входит в список ЮНЕСКО как историческое поселение), усадьба Скорняково-Архангельское, гиперболоидная башня Шухова в Полибино, памятники И. Бунину. Природа: заповедник «Галичья гора» (уникальные реликтовые растения), Воргольские скалы («Липецкая Швейцария»), река Дон, заказник «Олений парк». Климат: умеренно-континентальный. Теплое лето (+19-21°C), умеренно холодная зима. Достопримечательности: Сафари-парк «Кудыкина гора» (гигантский Змей Горыныч), Нижний парк в Липецке, Вознесенский собор в Ельце, мемориал на Быковой горе. Гастрономия: липецкая минеральная вода, елецкое пиво, сыры из Масловки (гастротуризм), липецкие яблоки, мороженое. Инфраструктура: федеральная трасса М-4 «Дон», крупные ж/д узлы (Елец, Грязи), ОЭЗ «Липецк». Ключевые слова: Липецкая область, Липецк, Елец, Кудыкина гора, НЛМК, Галичья гора, Воргольские скалы, минеральная вода, кружево, Дон, Петр I.;Заповедники; Музеи; Летний отдых; Храмы и крепости";"Реки и озера; Природные источники; Заповедники; Парки; Древние города; Санатории"
Тамбовская область;"Тамбовская область;Тамбовская область. Центрально-Черноземный экономический район, центр — Тамбов. Площадь 34 462 км², население около 966 000 человек. Расположена в центральной части Окско-Донской равнины. Часовой пояс MSK. Визитная карточка: Черноземное золото России: край мичуринских садов, благородных усадеб и гостеприимства. Чем знаменита: самые плодородные черноземы в мире, музыкальное наследие С. Рахманинова, наукоград Мичуринск (единственный в РФ по садоводству), бренд «Тамбовский волк». Бренды: «Тамбовский волк», «Мичуринские яблоки», «Тамбовский окорок», «Тамбовская неваляшка», пиво «Моршанское». Этнос: купеческие и ярмарочные традиции (Покровская ярмарка), фольклорные фестивали. Культурное наследие: усадьба С.В. Рахманинова «Ивановка», усадьба Асеевых (филиал Петергофа), дом-музей Чичерина, Спасо-Преображенский собор, памятник Тамбовскому мужику. Природа: Воронинский заповедник (долина реки Ворона), эталонные черноземы, пойменные луга, чистые сосновые боры. Климат: умеренно-континентальный. Теплое лето (+20°C), стабильно снежная зима. Достопримечательности: Набережная Тамбова (самая длинная двухъярусная набережная в ЦФО), музей-усадьба Мичурина, памятник неваляшке в Котовске. Гастрономия: тамбовский окорок, мичуринские яблоки и повидло, тамбовская картошка, тамбовский мед, ликеро-водочные изделия на местном зерне. Инфраструктура: федеральная трасса М-6 «Каспий», ж/д сообщение (направление Центр-Юг), аэропорт «Тамбов» (Донское). Ключевые слова: Тамбовская область, Тамбов, Мичуринск, Рахманинов, Ивановка, тамбовский волк, чернозем, яблоки, река Ворона, Асеев.;Заповедники; Музеи; Летний отдых; Храмы и крепости";"Леса; Степи; Реки и озера; Музеи; Парки; Санатории"
